Name,Class,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
PurpleHorse12,MATH 1571,3,1,4,2,1,5,2,1,1,1,1,3
PurpleHorse12,MATH 1572,2,5,3,1,1,5,2,1,1,5,5,5
PurpleHorse12,MATH 2673,5,5,4,1,1,5,2,1,1,5,5,5
RedCat01,MATH 1571,5,5,1,1,1,1,1,1,1,4,4,4
RedCat01,MATH 1572,4,5,3,2,2,2,4,3,3,4,4,3
RedCat01,MATH 2673,3,2,4,4,4,3,3,3,3,2,2,4
MoradoVaca02,MATH 1571,3,4,3,4,3,3,4,3,4,3,4,3
MoradoVaca02,MATH 1572,1,1,5,5,5,5,5,5,1,1,1,1
MoradoVaca02,MATH 2673,4,4,4,4,4,4,4,4,4,3,3,3
MoradoVaca01,MATH 1571,5,3,3,3,3,4,3,3,4,3,4,3
MoradoVaca01,MATH 1572,4,5,3,4,3,5,5,4,1,5,3,4
MoradoVaca01,MATH 2673,4,3,3,3,2,3,3,3,4,3,3,3
PurpleDog25,MATH 1571,4,5,3,2,1,2,2,4,2,4,4,4
PurpleDog25,MATH 1572,5,5,3,1,1,4,5,5,4,5,5,5
PurpleDog25,MATH 2673,4,5,3,4,3,2,4,4,3,3,4,4
MoradoVaca03,MATH 1571,2,4,2,3,4,3,2,3,4,3,2,3
MoradoVaca03,MATH 1572,4,5,4,4,3,3,4,3,3,4,4,3
MoradoVaca03,MATH 2673,3,2,3,4,3,3,3,2,2,4,4,3
MoradoVaca04,MATH 1571,3,4,3,4,4,3,4,3,3,4,4,4
MoradoVaca04,MATH 1572,4,3,3,3,4,3,3,4,3,3,4,3
MoradoVaca04,MATH 2673,4,3,3,3,3,3,4,2,3,3,3,3
YellowUtter02,MATH 1571,4,4,3,3,2,4,4,3,3,2,3,3
YellowUtter02,MATH 1572,5,5,4,4,2,2,4,4,2,4,4,4
YellowUtter02,MATH 2673,4,4,3,3,3,2,4,3,3,4,4,4
BlueDog25,MATH 1571,4,5,4,3,3,2,3,2,2,2,4,4
BlueDog25,MATH 1572,4,5,3,4,4,3,3,3,2,1,1,1
BlueDog25,MATH 2673,4,3,4,3,4,3,3,4,4,3,4,4
Turquoisecat4,MATH 1572,5,5,2,1,1,5,5,1,5,5,5,5
Turquoisecat4,MATH 2673,5,5,2,1,1,5,5,1,5,5,5,4
